,xG per 90,xGA per 90,xGD per 90,Yellow Cards,Straight Red Cards,Card Points
Spain,2.19,0.8,1.39,6,0,6
Netherlands,2.11,0.73,1.38,3,1,6
Portugal,1.9,1.05,0.85,4,0,4
Italy,1.37,0.74,0.63,12,0,12
Germany,1.62,1.0,0.62,7,0,7
France,1.53,1.07,0.46,8,0,8
Scotland,1.27,0.85,0.42,3,0,3
Denmark,1.48,1.11,0.37,5,0,5
England,1.04,0.72,0.32,6,0,6
Belgium,1.21,0.98,0.23,4,0,4
Ukraine,1.19,1.26,-0.07,4,0,4
Sweden,1.15,1.22,-0.07,5,1,8
Poland,1.11,1.19,-0.08,8,0,8
Czech Republic,1.09,1.18,-0.09,7,0,7
Austria,1.02,1.37,-0.35,6,0,6
Wales,1.15,1.62,-0.47,9,2,15
Switzerland,1.17,1.67,-0.5,11,1,14
Russia,0.9,1.58,-0.68,5,0,5
Croatia,1.04,1.73,-0.69,7,0,7
Finland,0.55,1.51,-0.96,4,0,4
Turkey,0.89,2.28,-1.39,7,0,7
North Macedonia,0.99,2.68,-1.69,8,0,8
Slovakia,0.31,2.06,-1.75,6,0,6
Hungary,0.39,2.16,-1.77,6,0,6
